id,smiles,calc
molid1,CN(C)C(=O)c1ccc(cc1)OC,-9.625
molid2,CS(=O)(=O)Cl,-6.2189999999999985
molid3,CC(C)C=C,2.452
molid5,CCCCCCCO,-2.917
molid6,Cc1cc(cc(c1)O)C,-5.444
molid7,CC(C)C(C)C,2.468
molid8,CCCC(C)(C)O,-2.779
molid9,C[C@@H]1CCCC[C@@H]1C,1.685
molid10,CC[C@H](C)O,-3.145
molid11,C(Br)Br,-0.405
molid12,CC[C@H](C(C)C)O,-2.416
molid13,CCc1ccccn1,-3.31
molid14,CCCCC(=O)OCC,-3.11
molid15,c1ccc(cc1)S,-1.501
molid16,CC(=CCC/C(=C\CO)/C)C,-2.597
molid17,c1ccc2c(c1)CCC2,-1.7519999999999998
molid18,CCOc1ccccc1,-2.254
molid19,c1cc(ccc1O)Br,-5.832999999999998
molid20,CCCC(C)(C)C,2.6860000000000004
molid22,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-10.644
molid23,C1CCCC(CC1)O,-4.345
molid24,COC(=O)C1CC1,-3.604
molid25,c1ccc(cc1)C#N,-3.238
molid26,CCCCC#N,-2.147
molid27,CC(C)(C)O,-3.2880000000000003
molid28,CC(C)C(=O)C(C)C,-2.629
molid29,CCC=O,-3.148
molid30,CN(C)C=O,-6.932
molid31,Cc1ccc(cc1)C,-0.6579999999999999
molid32,C=CCC=C,2.357
molid33,Cc1cccc(c1C)Nc2ccccc2C(=O)O,-7.665
molid34,CN(C)C(=O)c1ccccc1,-8.113
molid35,CCNCC,-2.986
molid36,CC(C)(C)c1ccc(cc1)O,-5.542999999999998
molid37,CC(C)CCOC=O,-3.414
molid38,CCCCCCCCCCO,-2.446
molid39,CCC(=O)OCC,-3.221
molid40,CCCCCCCCC,3.221
molid41,CC(=O)NC,-8.276
molid42,CCCCCCCC=C,2.995
molid43,c1ccc2cc(ccc2c1)O,-7.849
molid44,c1cc(c(cc1Cl)Cl)Cl,-0.117
molid45,C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,-18.162
molid46,CCCC(=O)OC,-3.552
molid47,c1ccc(c(c1)C=O)O,-8.809
molid49,CCCNCCC,-2.233
molid50,c1ccc(cc1)N,-5.542999999999998
molid51,C(F)(F)(F)F,2.489
molid52,CC[C@@H](C)CO,-2.995
molid53,c1ccc(c(c1)O)I,-3.221
molid54,COc1cccc(c1O)OC,-7.393
molid55,CCC#C,0.284
molid56,c1ccc(cc1)C(F)(F)F,-0.57
molid57,NN,-6.507999999999999
molid58,Cc1ccccn1,-3.5010000000000003
molid59,CCNc1nc(nc(n1)Cl)NCC,-10.914
molid60,c1ccc2c(c1)Oc3cc(c(cc3O2)Cl)Cl,-3.59
molid61,CCCCCCCCN,-2.589
molid62,N,-4.018
